Region Name,Item Required,Outbound Connections,Resources
Lumbridge,Area: Lumbridge,"Lumbridge Farms East, Lumbridge Farms West, Al Kharid, Lumbridge Swamp, HAM Hideout, South of Varrock, Barbarian Village, Edgeville, Wilderness","Mind Runes, Spinning Wheel, Furnace, Chisel, Bronze Anvil, Fly Fishing Spot, Bowl, Cake Tin, Oak Tree, Willow Tree, Canoe Tree, Goblin, Imps, Duck, Bar, Tree"
Lumbridge Swamp,Area: Lumbridge Swamp,"Lumbridge, HAM Hideout","Bronze Ores, Coal Ore, Shrimp Spot, Meat, Goblin, Imps, Big Bones, Duck, Tree"
HAM Hideout,Area: HAM Hideout,"Lumbridge Farms West, Lumbridge, Lumbridge Swamp, Draynor Village","Goblin, Tree"
Lumbridge Farms West,Area: Lumbridge Farms,"Sourhog's Lair, HAM Hideout, Draynor Village","Sheep, Meat, Wheat, Windmill, Egg, Milk, Willow Tree, Imps, Potato, Haystack, Tree"
Lumbridge Farms East,Area: Lumbridge Farms,"South of Varrock, Lumbridge","Meat, Egg, Milk, Willow Tree, Goblin, Imps, Potato, Tree"
Sourhog's Lair,Area: South of Varrock,"Lumbridge Farms West, Draynor Manor Outskirts",Tree
South of Varrock,Area: South of Varrock,"Al Kharid, West Varrock, Central Varrock, Lumberyard, Lumbridge Farms East, Lumbridge, Barbarian Village, Edgeville, Wilderness","Sheep, Bronze Ores, Iron Ore, Silver Ore, Redberry Bush, Meat, Wheat, Oak Tree, Willow Tree, Canoe Tree, Guard, Imps, Clay Ore, Duck, Goblin, Stray Dog, Tree"
Lumberyard,Area: Lumberyard,"Wilderness, South of Varrock, Central Varrock, Varrock Palace","Guard, Bar, Tree, Plank"
Central Varrock,Area: Central Varrock,"Varrock Palace, Lumberyard, South of Varrock, West Varrock","Mind Runes, Chisel, Anvil, Bowl, Cake Tin, Oak Tree, Barbarian, Rune Essence, Imps, Makeover, Bar, Stray Dog, Tree"
Varrock Palace,Area: Varrock Palace,"Wilderness, Lumberyard, Central Varrock, West Varrock","Pie Dish, Oak Tree, Zombie, Guard, Deadly Red Spider, Moss Giant, Nature Runes, Law Runes, Big Bones, Makeover, Red Spider Eggs, Tree"
West Varrock,Area: West Varrock,"Wilderness, Central Varrock, Varrock Palace, South of Varrock, Barbarian Village, Edgeville, Cook's Guild","Anvil, Wheat, Oak Tree, Goblin, Guard, Onion, Stray Dog, Tree"
Cook's Guild,Area: West Varrock*,West Varrock,"Bowl, Cooking Apple, Pie Dish, Cake Tin, Windmill, Tree"
Edgeville,Area: Edgeville,"Wilderness, West Varrock, Barbarian Village, South of Varrock, Lumbridge","Furnace, Chisel, Bronze Ores, Iron Ore, Coal Ore, Bowl, Meat, Cake Tin, Willow Tree, Canoe Tree, Zombie, Guard, Hill Giant, Nature Runes, Law Runes, Imps, Big Bones, Limpwurt Root, Haystack, Tree"
Barbarian Village,Area: Barbarian Village,"Edgeville, West Varrock, Draynor Manor Outskirts, Dwarven Mountain Pass","Spinning Wheel, Coal Ore, Anvil, Fly Fishing Spot, Meat, Canoe Tree, Barbarian, Zombie, Law Runes, Tree"
Draynor Manor Outskirts,Area: Draynor Manor,"Barbarian Village, Sourhog's Lair, Draynor Village, Falador East Outskirts","Goblin, Tree"
Draynor Manor,Area: Draynor Manor,Draynor Village,Tree
